pl_name,hostname,disc_year,disc_facility,discoverymethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_trandep,pl_trandur,pl_ratror,pl_rvamp,pl_rvamperr1,pl_rvamperr2,st_teff,st_tefferr1,st_rad,st_raderr1,st_mass,st_masserr1,st_lum,st_logg,st_met,st_rotp,sy_dist,sy_vmag,sy_kmag,sy_jmag,sy_gaiamag,sy_tmag,sy_kepmag,ra,dec,tran_flag,rv_flag
HD 2039 b,HD 2039,2002,Anglo-Australian Telescope,Radial Velocity,1120.0,2.2,0.71,,12.7,,,0.0,1999.1507,368.6828,-368.6828,0.0,Msini,0.3229,0.0177,-0.0177,210.84,,,,153.0,22.0,-22.0,5945.0,36.0,1.19,0.03,1.23,0.19,0.1939,4.38,0.3,,85.6922,9.0,7.549,7.912,8.85974,8.443,,6.0851069,-56.649988,0,1
HAT-P-8 b,HAT-P-8,2008,HATNet,Transit,3.07634,0.04496,0.0,87.8,15.6926,1.45717,-1.45717,0.0,406.8224,85.8141,-85.8141,0.0,Mass,1519.9645,,,1713.0,0.83,3.9016058,0.0921,153.1,3.9,-3.9,6200.0,80.0,1.57,0.15,1.27,0.41,0.519,4.15,0.01,,211.553,10.358,8.953,9.214,10.1489,9.7758,,343.0414932,35.4471778,1,1
K2-43 b,K2-43,2016,K2,Transit,3.471149,0.03784,0.07,89.6,4.51,0.44,-0.19,0.0,18.5,,,0.0,M-R relationship,49.0,6.9,-6.9,939.3,0.665,2.0448,0.04298,,,,3840.6,98.8,0.542,0.049,0.571,0.111,-1.21241,4.68275,,,182.536,15.748,11.577,12.422,14.8215,13.7701,14.887,169.117028,-3.9754405,1,0
Kepler-1753 b,Kepler-1753,2021,Kepler,Transit,16.00460052,0.1179,0.0,89.0,2.22678077,,,0.0,5.59,,,0.0,M-R relationship,27.41,12.98,-6.54,583.0,0.08319,3.9475,0.02558,,,,5180.0,155.0,0.769,0.111,0.86,0.057,-0.55992,4.597,0.0,,707.688,15.59,13.521,14.085,15.5134,14.9283,15.554,288.236664,46.6058744,1,0
Kepler-1176 b,Kepler-1176,2016,Kepler,Transit,24.1738579,0.1589,0.0,89.76,2.45,0.63,-0.32,0.0,6.57,,,0.0,M-R relationship,26.087,1.664,-1.546,595.0,0.05326,3.057,0.021862,,,,5844.0,264.61,1.02,0.256,1.01,0.111,-0.11691,4.42,-0.01,,864.699,15.27,13.31,13.76,15.0496,14.5186,15.056,297.919724,45.2742038,1,0
K2-126 b,K2-126,2017,K2,Transit,7.385655,0.0656,0.06,89.4,1.97,0.12,-0.12,0.0,4.54,,,0.0,M-R relationship,35.3,6.6,-5.9,601.0,0.0882,2.5872,0.0279,,,,4339.0,92.0,0.65,0.01,0.69,0.01,-0.87762,4.66,0.02,,102.953,12.759,9.712,10.508,12.4013,11.6297,12.445,203.5467021,-13.5769705,1,0
Kepler-1263 b,Kepler-1263,2016,Kepler,Transit,4.55139967,0.0499,0.0,88.98,1.14,0.28,-0.12,0.0,1.55,,,0.0,M-R relationship,144.813,5.503,-5.276,907.0,0.01887,2.491,0.013329,,,,5213.0,61.9,0.8,0.05,0.84,0.04,-0.41402,4.56,-0.03,,664.83,15.173,13.08,13.635,15.0007,14.43,15.035,286.483626,46.7526182,1,0
Kepler-1416 b,Kepler-1416,2016,Kepler,Transit,1.49514952,0.0257,0.0,42.38,0.88,0.33,-0.14,0.0,0.615,,,0.0,M-R relationship,2658.55,112.55,-106.953,1870.0,0.0052,3.11,0.006728,,,,6019.0,321.69,1.15,0.427,1.09,0.195,0.28393,4.35,0.03,,949.59,14.369,12.537,12.942,14.226,13.6973,14.22,298.6634624,43.8940593,1,0
Kepler-1542 c,Kepler-1542,2016,Kepler,Transit,2.89223021,0.0387,0.0,89.89,0.65,0.09,-0.06,0.0,0.208,,,0.0,M-R relationship,786.082,20.801,-20.253,1287.0,0.00443,2.607,0.00637,,,,5564.0,63.25,0.99,0.133,0.94,0.032,0.07026,4.41,0.06,,399.114,12.734,10.989,11.421,12.5876,12.11,12.639,285.7284757,42.6544651,1,0
K2-85 b,K2-85,2016,K2,Transit,0.68453862616,0.013,0.24,80.21,1.4,0.2,-0.2,0.0,3.2,1.3,-1.3,0.0,Mass,800.0,234.0,-234.0,1355.0,0.04,0.8184,0.0155,,,,4232.0,70.0,0.71,0.1,0.7,0.02,-0.81171,4.44,0.14,,97.2179,12.416,9.466,10.229,12.06,11.2967,12.099,59.464829,18.4649505,1,1
